Player Name,Player ID,Team,Overall Grade,Solo Tackles,Assists,Forced Fumbles,Sacks,Interceptions,Offense Snaps Played,Penalties,Sacks Allowed,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Reception,Carries,Rushing Yards,Rushing Touchdowns,Yards Per Attempt,Fumbles,Dropbacks,Attempts,Passing Yards,Passing Touchdowns,Punts,Punt Gross Avg.,Long,Pinned Inside the 20,Kickoffs,FG Attempted,FG Made,50+ FG Attempted,50+ FG Made,PAT Attempted,PAT Made
Quentin Gause,11070,DEN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cj Smith,11080,DEN,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Krieger Coble,11020,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Onwuasor,11100,LV,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Mcgee,11010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arjen Colquhoun,11120,DAL,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jace Billingsley,11130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Hillary,11110,NO,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Kelley,11090,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharrod Neasman,11050,LA,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Littleton,11190,HST,38.8,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Swindle,11200,LA,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Okwara,11250,DET,77.6,4.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette Pitts,11210,ATL,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Jackson,11150,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Adams,11240,BLT,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Williams,11220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Bryant,11280,NYG,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Martin,11260,CLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Anderson,11160,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijhaa Penny,11300,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Roberson,11310,CHI,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Ritcher,11330,TEN,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Britz,11320,TB,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Kling,11340,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Thomas,11170,BUF,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Burbank,11350,DAL,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Oni Omoile,11360,DAL,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Shakiel Randolph,11180,KC,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Kirkland,11370,LV,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Valdez Showers,11410,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Lee,11230,NO,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Cajuste,11270,CLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Newsome,11530,GB,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Mckenzie,11540,GB,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana Dotson,11550,GB,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Michels,11590,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Williams,11620,ATL,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Swayne,11630,DEN,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Herb Waters,11520,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance Shaw,11640,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxton Deaver,11380,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Licata,11390,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Lyle,11670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Stevens,11650,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey Young,11400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Smith,11660,DEN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
